year,Country,Life_Expectancy
1960,Argentina,63.978
1961,Argentina,64.36
1962,Argentina,64.244
1963,Argentina,64.449
1964,Argentina,64.363
1965,Argentina,64.593
1966,Argentina,64.891
1967,Argentina,64.992
1968,Argentina,64.89
1969,Argentina,64.859
1970,Argentina,65.589
1971,Argentina,65.541
1972,Argentina,65.923
1973,Argentina,66.323
1974,Argentina,66.563
1975,Argentina,67.081
1976,Argentina,67.228
1977,Argentina,67.861
1978,Argentina,68.197
1979,Argentina,68.491
1980,Argentina,68.564
1981,Argentina,68.976
1982,Argentina,68.937
1983,Argentina,69.267
1984,Argentina,69.195
1985,Argentina,69.651
1986,Argentina,70.119
1987,Argentina,70.564
1988,Argentina,71.052
1989,Argentina,71.425
1990,Argentina,71.784
1991,Argentina,72.319
1992,Argentina,72.43
1993,Argentina,72.565
1994,Argentina,73.172
1995,Argentina,73.133
1996,Argentina,73.307
1997,Argentina,73.09
1998,Argentina,73.474
1999,Argentina,73.722
2000,Argentina,73.926
2001,Argentina,74.186
2002,Argentina,74.408
2003,Argentina,74.08
2004,Argentina,74.855
2005,Argentina,75.139
2006,Argentina,75.433
2007,Argentina,75.006
2008,Argentina,75.641
2009,Argentina,75.936
2010,Argentina,75.721
2011,Argentina,76.124
2012,Argentina,76.467
2013,Argentina,76.491
2014,Argentina,76.755
2015,Argentina,76.76
2016,Argentina,76.308
2017,Argentina,76.833
2018,Argentina,76.999
2019,Argentina,77.284
2020,Argentina,75.892
2021,Argentina,75.39
2022,Argentina,76.064
1960,Australia,70.81707317
1961,Australia,70.97317073
1962,Australia,70.94243902
1963,Australia,70.91170732
1964,Australia,70.88097561
1965,Australia,70.8502439
1966,Australia,70.8195122
1967,Australia,70.86926829
1968,Australia,70.91902439
1969,Australia,70.96878049
1970,Australia,71.01853659
1971,Australia,71.06829268
1972,Australia,71.45756098
1973,Australia,71.84682927
1974,Australia,72.23609756
1975,Australia,72.62536585
1976,Australia,73.01463415
1977,Australia,73.34439024
1978,Australia,73.67414634
1979,Australia,74.00390244
1980,Australia,74.33365854
1981,Australia,74.66341463
1982,Australia,74.90487805
1983,Australia,75.14634146
1984,Australia,75.38780488
1985,Australia,75.62926829
1986,Australia,75.87073171
1987,Australia,76.15170732
1988,Australia,76.43268293
1989,Australia,76.71365854
1990,Australia,76.99463415
1991,Australia,77.27560976
1992,Australia,77.37804878
1993,Australia,77.87804878
1994,Australia,77.87804878
1995,Australia,77.82926829
1996,Australia,78.07804878
1997,Australia,78.4804878
1998,Australia,78.63170732
1999,Australia,78.93170732
2000,Australia,79.23414634
2001,Australia,79.63414634
2002,Australia,79.93658537
2003,Australia,80.23902439
2004,Australia,80.4902439
2005,Australia,80.84146341
2006,Australia,81.04146341
2007,Australia,81.29268293
2008,Australia,81.39512195
2009,Australia,81.54390244
2010,Australia,81.69512195
2011,Australia,81.89512195
2012,Australia,82.04634146
2013,Australia,82.14878049
2014,Australia,82.3
2015,Australia,82.4
2016,Australia,82.44878049
2017,Australia,82.5
2018,Australia,82.74878049
2019,Australia,82.9
2020,Australia,83.2
2021,Australia,83.3
2022,Australia,83.2
1960,Brazil,52.66
1961,Brazil,53.183
1962,Brazil,53.71
1963,Brazil,54.209
1964,Brazil,54.648
1965,Brazil,55.084
1966,Brazil,55.473
1967,Brazil,55.868
1968,Brazil,56.31
1969,Brazil,56.748
1970,Brazil,57.171
1971,Brazil,57.586
1972,Brazil,58.032
1973,Brazil,58.472
1974,Brazil,58.881
1975,Brazil,59.353
1976,Brazil,59.792
1977,Brazil,60.24
1978,Brazil,60.72
1979,Brazil,61.253
1980,Brazil,61.781
1981,Brazil,62.333
1982,Brazil,62.856
1983,Brazil,63.331
1984,Brazil,63.773
1985,Brazil,64.198
1986,Brazil,64.64
1987,Brazil,65.08
1988,Brazil,65.454
1989,Brazil,65.868
1990,Brazil,65.985
1991,Brazil,66.31
1992,Brazil,66.708
1993,Brazil,67.109
1994,Brazil,67.568
1995,Brazil,67.919
1996,Brazil,68.409
1997,Brazil,68.813
1998,Brazil,69.189
1999,Brazil,69.524
2000,Brazil,69.737
2001,Brazil,70.195
2002,Brazil,70.41
2003,Brazil,70.72
2004,Brazil,71.131
2005,Brazil,71.753
2006,Brazil,72.037
2007,Brazil,72.365
2008,Brazil,72.715
2009,Brazil,72.948
2010,Brazil,73.182
2011,Brazil,73.343
2012,Brazil,73.552
2013,Brazil,73.918
2014,Brazil,74.306
2015,Brazil,74.332
2016,Brazil,74.442
2017,Brazil,74.827
2018,Brazil,75.109
2019,Brazil,75.338
2020,Brazil,74.009
2021,Brazil,72.75
2022,Brazil,73.425
1960,Canada,71.13317073
1961,Canada,71.34609756
1962,Canada,71.36707317
1963,Canada,71.38073171
1964,Canada,71.77634146
1965,Canada,71.87219512
1966,Canada,72.00439024
1967,Canada,72.20780488
1968,Canada,72.35341463
1969,Canada,72.50146341
1970,Canada,72.7004878
1971,Canada,73.02926829
1972,Canada,72.93390244
1973,Canada,73.16268293
1974,Canada,73.23756098
1975,Canada,73.52170732
1976,Canada,73.85609756
1977,Canada,74.21560976
1978,Canada,74.5297561
1979,Canada,74.86634146
1980,Canada,75.10219512
1981,Canada,75.49780488
1982,Canada,75.72512195
1983,Canada,76.0604878
1984,Canada,76.33195122
1985,Canada,76.32731707
1986,Canada,76.46390244
1987,Canada,76.77878049
1988,Canada,76.85878049
1989,Canada,77.12487805
1990,Canada,77.43658537
1991,Canada,77.59341463
1992,Canada,77.83804878
1993,Canada,77.70487805
1994,Canada,77.87170732
1995,Canada,77.97731707
1996,Canada,78.2202439
1997,Canada,78.41243902
1998,Canada,78.62365854
1999,Canada,78.83902439
2000,Canada,79.16682927
2001,Canada,79.39804878
2002,Canada,79.53073171
